,Hydropower,,,,,,,,,,,,,,,,,,,,
,Renewable hydropower,,,,,,,,,,,,,,,,,,,,
,Pumped storage,,,,,,,,,,,,,,,,,,,,
,Marine,,,,,,,,,,,,,,,,,,,,
,Wind,,,,,,,,,,,,,,,,,,,,
,Onshore wind energy,,,,,,,,,,,,,,,,,,,,
,Offshore wind energy,,,,,,,,,,,,,,,,,,,,
,Solar,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,5,5,5,
,Solar photovoltaic,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,5,5,5,
,Concentrated solar power,,,,,,,,,,,,,,,,,,,,
,Bioenergy,,,,,,,,,,,,,,,,,,,,
,Solid biofuels,,,,,,,,,,,,,,,,,,,,
,Bagasse,,,,,,,,,,,,,,,,,,,,
,Renewable municipal waste,,,,,,,,,,,,,,,,,,,,
,Other solid biofuels,,,,,,,,,,,,,,,,,,,,
,Liquid biofuels,,,,,,,,,,,,,,,,,,,,
,Biogas,,,,,,,,,,,,,,,,,,,,
,Geothermal,,,,,,,,,,,,,,,,,,,,
Burkina Faso,Total renewable energy,99,55,65,97,103,102,83,114,140,137,123,91,106,116,102,107,156,158,182,
,Hydropower,98,54,64,96,101,100,81,111,136,132,118,82,97,106,90,93,139,128,128,
,Renewable hydropower,98,54,64,96,101,100,81,111,136,132,118,82,97,106,90,93,139,128,128,
,Pumped storage,,,,,,,,,,,,,,,,,,,,
,Marine,,,,,,,,,,,,,,,,,,,,
,Wind,,,,,,,,,,,,,,,,,,,,
,Onshore wind energy,,,,,,,,,,,,,,,,,,,,
,Offshore wind energy,,,,,,,,,,,,,,,,,,,,
,Solar,1,1,1,1,2,2,2,3,4,5,6,9,9,10,11,13,16,29,53,
,Solar photovoltaic,1,1,1,1,2,2,2,3,4,5,6,9,9,10,11,13,16,29,53,
,Concentrated solar power,,,,,,,,,,,,,,,,,,,,
,Bioenergy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
,Solid biofuels,,,,,,,,,,,,,,,,,,,,
,Bagasse,,,,,,,,,,,,,,,,,,,,
,Renewable municipal waste,,,,,,,,,,,,,,,,,,,,
,Other solid biofuels,,,,,,,,,,,,,,,,,,,,
,Liquid biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Biogas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
,Geothermal,,,,,,,,,,,,,,,,,,,,
Burundi,Total renewable energy,103,117,129,104,95,102,159,204,218,207,235,247,259,260,251,247,285,273,254,
,Hydropower,99,112,124,100,90,98,154,198,213,200,229,240,251,249,241,236,272,259,240,
,Renewable hydropower,99,112,124,100,90,98,154,198,213,200,229,240,251,249,241,236,272,259,240,
,Pumped storage,,,,,,,,,,,,,,,,,,,,
,Marine,,,,,,,,,,,,,,,,,,,,
,Wind,,,,,,,,,,,,,,,,,,,,
,Onshore wind energy,,,,,,,,,,,,,,,,,,,,
,Offshore wind energy,,,,,,,,,,,,,,,,,,,,
,Solar,0,0,0,0,0,0,0,0,1,1,1,1,2,4,4,5,6,8,8,
,Solar photovoltaic,0,0,0,0,0,0,0,0,1,1,1,1,2,4,4,5,6,8,8,
,Concentrated solar power,,,,,,,,,,,,,,,,,,,,
,Bioenergy,4,4,4,4,4,4,4,6,5,6,5,6,6,7,6,6,7,7,6,
,Solid biofuels,4,4,4,4,4,4,4,6,5,6,5,6,6,7,6,6,7,7,6,
